	origin	Formula	Neutral_mass	mz	md	inclusion
HMDB41788	Food	C8H8O7S	247.9990733	246.9917967	0.9917967	y
HMDB41706	Food	C9H8O7S	259.9990733	258.9917967	0.9917967	y
HMDB41708	Food	C9H8O7S	259.9990733	258.9917967	0.9917967	y
HMDB38459	Food	C14H10O3S2	290.0071356	288.999859	0.999859	y
HMDB32721	Food	C11H12O8P2	334.0007404	332.9934638	0.9934638	y
HMDB37112	Food	C14H7ClF3NO5	360.9964847	359.9892081	0.9892081	y
HMDB38471	Food	C15H10O9S	366.0045526	364.997276	0.997276	y
HMDB38472	Food	C15H10O9S	366.0045526	364.997276	0.997276	y
HMDB37985	Food	C16H10Cl2N2O5	379.9966769	378.9894003	0.9894003	y
HMDB37597	Food	C15H10O10S	381.9994672	380.9921906	0.9921906	y
HMDB41770	Food	C15H10O10S	381.9994672	380.9921906	0.9921906	y
HMDB34850	Food	C14H13Cl2N5O4S	417.00653	415.9992534	0.9992534	y
HMDB37520	Food	C12H6Br4O	481.7152154	480.7079388	0.7079388	y
HMDB37547	Food	C12H6Br4O	481.7152154	480.7079388	0.7079388	y
HMDB38386	Food	C28H10O16	601.9968843	600.9896077	0.9896077	y
HMDB33389	Food	C28H21N5O14S4	778.9967832	777.9895066	0.9895066	y
HMDB02899	Plant	C14H6O8	302.0062672	300.9989906	0.9989906	y
HMDB06509	Endogenous	C6H16N	102.1282745	101.1209979	0.1209979	n
HMDB06229	Endogenous	C6H19O27P7	739.827701	738.8204244	0.8204244	n
HMDB12494	Endogenous	C6H19O27P7	739.827701	738.8204244	0.8204244	n
HMDB38053	Food	Ca3H6O18P6	599.6857559	598.6784793	0.6784793	n
HMDB01425	Drugorsteroidmetabolite	C18H22O5S	350.1187945	349.1115179	0.1115179	n
HMDB04448	Drugorsteroidmetabolite	C18H24O5S	352.1344446	351.127168	0.127168	n
HMDB12622	Drugorsteroidmetabolite	C18H21O6S	365.1058841	364.0986075	0.0986075	n
HMDB12779	Drugorsteroidmetabolite	C18H22O6S	366.1137091	365.1064325	0.1064325	n
HMDB01032	Drugorsteroidmetabolite	C19H28O5S	368.1657447	367.1584681	0.1584681	n
